"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"101-02.210222.15","1","1","1","1","0","0","0","20220221","20220224"
"101-02.250222.16","0","0","0","0","1","0","0","20220225","20220225"
"101-02.260222.32","0","0","0","0","0","1","0","20220226","20220226"
"101-02.270222.64","0","0","0","0","0","0","1","20220227","20220227"
"101-02.280222.15","1","1","1","1","0","0","0","20220228","20220303"
"101-02.040322.16","0","0","0","0","1","0","0","20220304","20220304"
"101-02.050322.32","0","0","0","0","0","1","0","20220305","20220305"
"101-02.060322.64","0","0","0","0","0","0","1","20220306","20220306"
"101-02.070322.15","1","1","1","1","0","0","0","20220307","20220310"
"101-02.110322.16","0","0","0","0","1","0","0","20220311","20220311"
"101-02.120322.32","0","0","0","0","0","1","0","20220312","20220312"
"101-02.130322.64","0","0","0","0","0","0","1","20220313","20220313"
"101-02.140322.15","1","1","1","1","0","0","0","20220314","20220317"
"101-02.180322.16","0","0","0","0","1","0","0","20220318","20220318"
"101-02.190322.32","0","0","0","0","0","1","0","20220319","20220319"
"101-02.200322.64","0","0","0","0","0","0","1","20220320","20220320"
"101-02.210322.15","1","1","1","1","0","0","0","20220321","20220324"
"101-02.250322.16","0","0","0","0","1","0","0","20220325","20220325"
"101-02.260322.32","0","0","0","0","0","1","0","20220326","20220326"
"101-02.270322.64","0","0","0","0","0","0","1","20220327","20220327"
"101-02.280322.15","1","1","1","1","0","0","0","20220328","20220331"
"101-02.010422.16","0","0","0","0","1","0","0","20220401","20220401"
"101-02.020422.32","0","0","0","0","0","1","0","20220402","20220402"
"101-02.030422.64","0","0","0","0","0","0","1","20220403","20220403"
"101-02.040422.15","1","1","1","1","0","0","0","20220404","20220407"
"101-02.080422.16","0","0","0","0","1","0","0","20220408","20220408"
"101-02.090422.32","0","0","0","0","0","1","0","20220409","20220409"
"101-02.100422.64","0","0","0","0","0","0","1","20220410","20220410"
"101-02.110422.15","1","1","1","1","0","0","0","20220411","20220414"
"101-02.150422.16","0","0","0","0","1","0","0","20220415","20220415"
"101-02.160422.32","0","0","0","0","0","1","0","20220416","20220416"
"101-02.170422.64","0","0","0","0","0","0","1","20220417","20220417"
"101-02.180422.15","1","1","1","1","0","0","0","20220418","20220421"
"101-02.220422.16","0","0","0","0","1","0","0","20220422","20220422"
"101-02.230422.32","0","0","0","0","0","1","0","20220423","20220423"
"101-02.240422.64","0","0","0","0","0","0","1","20220424","20220424"
"101-02.250422.15","1","1","1","1","0","0","0","20220425","20220428"
"101-02.290422.16","0","0","0","0","1","0","0","20220429","20220429"
"101-02.300422.32","0","0","0","0","0","1","0","20220430","20220430"
"101-02.010522.64","0","0","0","0","0","0","1","20220501","20220501"
"101-02.020522.15","1","1","1","1","0","0","0","20220502","20220505"
"101-02.060522.16","0","0","0","0","1","0","0","20220506","20220506"
"101-02.070522.32","0","0","0","0","0","1","0","20220507","20220507"
"101-02.080522.64","0","0","0","0","0","0","1","20220508","20220508"
"101-02.090522.15","1","1","1","1","0","0","0","20220509","20220512"
"101-02.130522.16","0","0","0","0","1","0","0","20220513","20220513"
"101-02.140522.32","0","0","0","0","0","1","0","20220514","20220514"
"101-02.150522.64","0","0","0","0","0","0","1","20220515","20220515"
"101-02.160522.15","1","1","1","1","0","0","0","20220516","20220519"
"101-02.200522.16","0","0","0","0","1","0","0","20220520","20220520"
"101-02.210522.32","0","0","0","0","0","1","0","20220521","20220521"
"101-02.220522.64","0","0","0","0","0","0","1","20220522","20220522"
"101-02.230522.15","1","1","1","1","0","0","0","20220523","20220526"
"101-02.270522.16","0","0","0","0","1","0","0","20220527","20220527"
"101-02.280522.32","0","0","0","0","0","1","0","20220528","20220528"
"101-02.290522.64","0","0","0","0","0","0","1","20220529","20220529"
"101-02.300522.15","1","1","1","1","0","0","0","20220530","20220602"
"101-03.210222.15","1","1","1","1","0","0","0","20220221","20220224"
"101-03.250222.16","0","0","0","0","1","0","0","20220225","20220225"
"101-03.260222.32","0","0","0","0","0","1","0","20220226","20220226"
"101-03.270222.64","0","0","0","0","0","0","1","20220227","20220227"
"101-03.280222.15","1","1","1","1","0","0","0","20220228","20220303"
"101-03.040322.16","0","0","0","0","1","0","0","20220304","20220304"
"101-03.050322.32","0","0","0","0","0","1","0","20220305","20220305"
"101-03.060322.64","0","0","0","0","0","0","1","20220306","20220306"
"101-03.070322.15","1","1","1","1","0","0","0","20220307","20220310"
"101-03.110322.16","0","0","0","0","1","0","0","20220311","20220311"
"101-03.120322.32","0","0","0","0","0","1","0","20220312","20220312"
"101-03.130322.64","0","0","0","0","0","0","1","20220313","20220313"
"101-03.140322.15","1","1","1","1","0","0","0","20220314","20220317"
"101-03.180322.16","0","0","0","0","1","0","0","20220318","20220318"
"101-03.190322.32","0","0","0","0","0","1","0","20220319","20220319"
"101-03.200322.64","0","0","0","0","0","0","1","20220320","20220320"
"101-03.210322.15","1","1","1","1","0","0","0","20220321","20220324"
"101-03.250322.16","0","0","0","0","1","0","0","20220325","20220325"
"101-03.260322.32","0","0","0","0","0","1","0","20220326","20220326"
"101-03.270322.64","0","0","0","0","0","0","1","20220327","20220327"
"101-03.280322.15","1","1","1","1","0","0","0","20220328","20220331"
"101-03.010422.16","0","0","0","0","1","0","0","20220401","20220401"
"101-03.020422.32","0","0","0","0","0","1","0","20220402","20220402"
"101-03.030422.64","0","0","0","0","0","0","1","20220403","20220403"
"101-03.040422.15","1","1","1","1","0","0","0","20220404","20220407"
"101-03.080422.16","0","0","0","0","1","0","0","20220408","20220408"
"101-03.090422.32","0","0","0","0","0","1","0","20220409","20220409"
"101-03.100422.64","0","0","0","0","0","0","1","20220410","20220410"
"101-03.110422.15","1","1","1","1","0","0","0","20220411","20220414"
"101-03.150422.16","0","0","0","0","1","0","0","20220415","20220415"
"101-03.160422.32","0","0","0","0","0","1","0","20220416","20220416"
"101-03.170422.64","0","0","0","0","0","0","1","20220417","20220417"
"101-03.180422.15","1","1","1","1","0","0","0","20220418","20220421"
"101-03.220422.16","0","0","0","0","1","0","0","20220422","20220422"
"101-03.230422.32","0","0","0","0","0","1","0","20220423","20220423"
"101-03.240422.64","0","0","0","0","0","0","1","20220424","20220424"
"101-03.250422.15","1","1","1","1","0","0","0","20220425","20220428"
"101-03.290422.16","0","0","0","0","1","0","0","20220429","20220429"
"101-03.300422.32","0","0","0","0","0","1","0","20220430","20220430"
"101-03.010522.64","0","0","0","0","0","0","1","20220501","20220501"
"101-03.020522.15","1","1","1","1","0","0","0","20220502","20220505"
"101-03.060522.16","0","0","0","0","1","0","0","20220506","20220506"
"101-03.070522.32","0","0","0","0","0","1","0","20220507","20220507"
"101-03.080522.64","0","0","0","0","0","0","1","20220508","20220508"
"101-03.090522.15","1","1","1","1","0","0","0","20220509","20220512"
"101-03.130522.16","0","0","0","0","1","0","0","20220513","20220513"
"101-03.140522.32","0","0","0","0","0","1","0","20220514","20220514"
"101-03.150522.64","0","0","0","0","0","0","1","20220515","20220515"
"101-03.160522.15","1","1","1","1","0","0","0","20220516","20220519"
"101-03.200522.16","0","0","0","0","1","0","0","20220520","20220520"
"101-03.210522.32","0","0","0","0","0","1","0","20220521","20220521"
"101-03.220522.64","0","0","0","0","0","0","1","20220522","20220522"
"101-03.230522.15","1","1","1","1","0","0","0","20220523","20220526"
"101-03.270522.16","0","0","0","0","1","0","0","20220527","20220527"
"101-03.280522.32","0","0","0","0","0","1","0","20220528","20220528"
"101-03.290522.64","0","0","0","0","0","0","1","20220529","20220529"
"101-03.300522.15","1","1","1","1","0","0","0","20220530","20220602"
"101-04.210222.15","1","1","1","1","0","0","0","20220221","20220224"
"101-04.250222.16","0","0","0","0","1","0","0","20220225","20220225"
"101-04.260222.32","0","0","0","0","0","1","0","20220226","20220226"
"101-04.270222.64","0","0","0","0","0","0","1","20220227","20220227"
"101-04.280222.15","1","1","1","1","0","0","0","20220228","20220303"
"101-04.040322.16","0","0","0","0","1","0","0","20220304","20220304"
"101-04.050322.32","0","0","0","0","0","1","0","20220305","20220305"
"101-04.060322.64","0","0","0","0","0","0","1","20220306","20220306"
"101-04.070322.15","1","1","1","1","0","0","0","20220307","20220310"
"101-04.110322.16","0","0","0","0","1","0","0","20220311","20220311"
"101-04.120322.32","0","0","0","0","0","1","0","20220312","20220312"
"101-04.130322.64","0","0","0","0","0","0","1","20220313","20220313"
"101-04.140322.15","1","1","1","1","0","0","0","20220314","20220317"
"101-04.180322.16","0","0","0","0","1","0","0","20220318","20220318"
"101-04.190322.32","0","0","0","0","0","1","0","20220319","20220319"
"101-04.200322.64","0","0","0","0","0","0","1","20220320","20220320"
"101-04.210322.15","1","1","1","1","0","0","0","20220321","20220324"
"101-04.250322.16","0","0","0","0","1","0","0","20220325","20220325"
"101-04.260322.32","0","0","0","0","0","1","0","20220326","20220326"
"101-04.270322.64","0","0","0","0","0","0","1","20220327","20220327"
"101-04.280322.15","1","1","1","1","0","0","0","20220328","20220331"
"101-04.010422.16","0","0","0","0","1","0","0","20220401","20220401"
"101-04.020422.32","0","0","0","0","0","1","0","20220402","20220402"
"101-04.030422.64","0","0","0","0","0","0","1","20220403","20220403"
"101-04.040422.15","1","1","1","1","0","0","0","20220404","20220407"
"101-04.080422.16","0","0","0","0","1","0","0","20220408","20220408"
"101-04.090422.32","0","0","0","0","0","1","0","20220409","20220409"
"101-04.100422.64","0","0","0","0","0","0","1","20220410","20220410"
"101-04.110422.15","1","1","1","1","0","0","0","20220411","20220414"
"101-04.150422.16","0","0","0","0","1","0","0","20220415","20220415"
"101-04.160422.32","0","0","0","0","0","1","0","20220416","20220416"
"101-04.170422.64","0","0","0","0","0","0","1","20220417","20220417"
"101-04.180422.15","1","1","1","1","0","0","0","20220418","20220421"
"101-04.220422.16","0","0","0","0","1","0","0","20220422","20220422"
"101-04.230422.32","0","0","0","0","0","1","0","20220423","20220423"
"101-04.240422.64","0","0","0","0","0","0","1","20220424","20220424"
"101-04.250422.15","1","1","1","1","0","0","0","20220425","20220428"
"101-04.290422.16","0","0","0","0","1","0","0","20220429","20220429"
"101-04.300422.32","0","0","0","0","0","1","0","20220430","20220430"
"101-04.010522.64","0","0","0","0","0","0","1","20220501","20220501"
"101-04.020522.15","1","1","1","1","0","0","0","20220502","20220505"
"101-04.060522.16","0","0","0","0","1","0","0","20220506","20220506"
"101-04.070522.32","0","0","0","0","0","1","0","20220507","20220507"
"101-04.080522.64","0","0","0","0","0","0","1","20220508","20220508"
"101-04.090522.15","1","1","1","1","0","0","0","20220509","20220512"
"101-04.130522.16","0","0","0","0","1","0","0","20220513","20220513"
"101-04.140522.32","0","0","0","0","0","1","0","20220514","20220514"
"101-04.150522.64","0","0","0","0","0","0","1","20220515","20220515"
"101-04.160522.15","1","1","1","1","0","0","0","20220516","20220519"
"101-04.200522.16","0","0","0","0","1","0","0","20220520","20220520"
"101-04.210522.32","0","0","0","0","0","1","0","20220521","20220521"
"101-04.220522.64","0","0","0","0","0","0","1","20220522","20220522"
"101-04.230522.15","1","1","1","1","0","0","0","20220523","20220526"
"101-04.270522.16","0","0","0","0","1","0","0","20220527","20220527"
"101-04.280522.32","0","0","0","0","0","1","0","20220528","20220528"
"101-04.290522.64","0","0","0","0","0","0","1","20220529","20220529"
"101-04.300522.15","1","1","1","1","0","0","0","20220530","20220602"
"101-05.210222.15","1","1","1","1","0","0","0","20220221","20220224"
"101-05.250222.16","0","0","0","0","1","0","0","20220225","20220225"
"101-05.260222.32","0","0","0","0","0","1","0","20220226","20220226"
"101-05.270222.64","0","0","0","0","0","0","1","20220227","20220227"
"101-05.280222.15","1","1","1","1","0","0","0","20220228","20220303"
"101-05.040322.16","0","0","0","0","1","0","0","20220304","20220304"
"101-05.050322.32","0","0","0","0","0","1","0","20220305","20220305"
"101-05.060322.64","0","0","0","0","0","0","1","20220306","20220306"
"101-05.070322.15","1","1","1","1","0","0","0","20220307","20220310"
"101-05.110322.16","0","0","0","0","1","0","0","20220311","20220311"
"101-05.120322.32","0","0","0","0","0","1","0","20220312","20220312"
"101-05.130322.64","0","0","0","0","0","0","1","20220313","20220313"
"101-05.140322.15","1","1","1","1","0","0","0","20220314","20220317"
"101-05.180322.16","0","0","0","0","1","0","0","20220318","20220318"
"101-05.190322.32","0","0","0","0","0","1","0","20220319","20220319"
"101-05.200322.64","0","0","0","0","0","0","1","20220320","20220320"
"101-05.210322.15","1","1","1","1","0","0","0","20220321","20220324"
"101-05.250322.16","0","0","0","0","1","0","0","20220325","20220325"
"101-05.260322.32","0","0","0","0","0","1","0","20220326","20220326"
"101-05.270322.64","0","0","0","0","0","0","1","20220327","20220327"
"101-05.280322.15","1","1","1","1","0","0","0","20220328","20220331"
"101-05.010422.16","0","0","0","0","1","0","0","20220401","20220401"
"101-05.020422.32","0","0","0","0","0","1","0","20220402","20220402"
"101-05.030422.64","0","0","0","0","0","0","1","20220403","20220403"
"101-05.040422.15","1","1","1","1","0","0","0","20220404","20220407"
"101-05.080422.16","0","0","0","0","1","0","0","20220408","20220408"
"101-05.090422.32","0","0","0","0","0","1","0","20220409","20220409"
"101-05.100422.64","0","0","0","0","0","0","1","20220410","20220410"
"101-05.110422.15","1","1","1","1","0","0","0","20220411","20220414"
"101-05.150422.16","0","0","0","0","1","0","0","20220415","20220415"
"101-05.160422.32","0","0","0","0","0","1","0","20220416","20220416"
"101-05.170422.64","0","0","0","0","0","0","1","20220417","20220417"
"101-05.180422.15","1","1","1","1","0","0","0","20220418","20220421"
"101-05.220422.16","0","0","0","0","1","0","0","20220422","20220422"
"101-05.230422.32","0","0","0","0","0","1","0","20220423","20220423"
"101-05.240422.64","0","0","0","0","0","0","1","20220424","20220424"
"101-05.250422.15","1","1","1","1","0","0","0","20220425","20220428"
"101-05.290422.16","0","0","0","0","1","0","0","20220429","20220429"
"101-05.300422.32","0","0","0","0","0","1","0","20220430","20220430"
"101-05.010522.64","0","0","0","0","0","0","1","20220501","20220501"
"101-05.020522.15","1","1","1","1","0","0","0","20220502","20220505"
"101-05.060522.16","0","0","0","0","1","0","0","20220506","20220506"
"101-05.070522.32","0","0","0","0","0","1","0","20220507","20220507"
"101-05.080522.64","0","0","0","0","0","0","1","20220508","20220508"
"101-05.090522.15","1","1","1","1","0","0","0","20220509","20220512"
"101-05.130522.16","0","0","0","0","1","0","0","20220513","20220513"
"101-05.140522.32","0","0","0","0","0","1","0","20220514","20220514"
"101-05.150522.64","0","0","0","0","0","0","1","20220515","20220515"
"101-05.160522.15","1","1","1","1","0","0","0","20220516","20220519"
"101-05.200522.16","0","0","0","0","1","0","0","20220520","20220520"
"101-05.210522.32","0","0","0","0","0","1","0","20220521","20220521"
"101-05.220522.64","0","0","0","0","0","0","1","20220522","20220522"
"101-05.230522.15","1","1","1","1","0","0","0","20220523","20220526"
"101-05.270522.16","0","0","0","0","1","0","0","20220527","20220527"
"101-05.280522.32","0","0","0","0","0","1","0","20220528","20220528"
"101-05.290522.64","0","0","0","0","0","0","1","20220529","20220529"
"101-05.300522.15","1","1","1","1","0","0","0","20220530","20220602"
"101-06.210222.15","1","1","1","1","0","0","0","20220221","20220224"
"101-06.250222.16","0","0","0","0","1","0","0","20220225","20220225"
"101-06.260222.32","0","0","0","0","0","1","0","20220226","20220226"
"101-06.270222.64","0","0","0","0","0","0","1","20220227","20220227"
"101-06.280222.15","1","1","1","1","0","0","0","20220228","20220303"
"101-06.040322.16","0","0","0","0","1","0","0","20220304","20220304"
"101-06.050322.32","0","0","0","0","0","1","0","20220305","20220305"
"101-06.060322.64","0","0","0","0","0","0","1","20220306","20220306"
"101-06.070322.15","1","1","1","1","0","0","0","20220307","20220310"
"101-06.110322.16","0","0","0","0","1","0","0","20220311","20220311"
"101-06.120322.32","0","0","0","0","0","1","0","20220312","20220312"
"101-06.130322.64","0","0","0","0","0","0","1","20220313","20220313"
"101-06.140322.15","1","1","1","1","0","0","0","20220314","20220317"
"101-06.180322.16","0","0","0","0","1","0","0","20220318","20220318"
"101-06.190322.32","0","0","0","0","0","1","0","20220319","20220319"
"101-06.200322.64","0","0","0","0","0","0","1","20220320","20220320"
"101-06.210322.15","1","1","1","1","0","0","0","20220321","20220324"
"101-06.250322.16","0","0","0","0","1","0","0","20220325","20220325"
"101-06.260322.32","0","0","0","0","0","1","0","20220326","20220326"
"101-06.270322.64","0","0","0","0","0","0","1","20220327","20220327"
"101-06.280322.15","1","1","1","1","0","0","0","20220328","20220331"
"101-06.010422.16","0","0","0","0","1","0","0","20220401","20220401"
"101-06.020422.32","0","0","0","0","0","1","0","20220402","20220402"
"101-06.030422.64","0","0","0","0","0","0","1","20220403","20220403"
"101-06.040422.15","1","1","1","1","0","0","0","20220404","20220407"
"101-06.080422.16","0","0","0","0","1","0","0","20220408","20220408"
"101-06.090422.32","0","0","0","0","0","1","0","20220409","20220409"
"101-06.100422.64","0","0","0","0","0","0","1","20220410","20220410"
"101-06.110422.15","1","1","1","1","0","0","0","20220411","20220414"
"101-06.150422.16","0","0","0","0","1","0","0","20220415","20220415"
"101-06.160422.32","0","0","0","0","0","1","0","20220416","20220416"
"101-06.170422.64","0","0","0","0","0","0","1","20220417","20220417"
"101-06.180422.15","1","1","1","1","0","0","0","20220418","20220421"
"101-06.220422.16","0","0","0","0","1","0","0","20220422","20220422"
"101-06.230422.32","0","0","0","0","0","1","0","20220423","20220423"
"101-06.240422.64","0","0","0","0","0","0","1","20220424","20220424"
"101-06.250422.15","1","1","1","1","0","0","0","20220425","20220428"
"101-06.290422.16","0","0","0","0","1","0","0","20220429","20220429"
"101-06.300422.32","0","0","0","0","0","1","0","20220430","20220430"
"101-06.010522.64","0","0","0","0","0","0","1","20220501","20220501"
"101-06.020522.15","1","1","1","1","0","0","0","20220502","20220505"
"101-06.060522.16","0","0","0","0","1","0","0","20220506","20220506"
"101-06.070522.32","0","0","0","0","0","1","0","20220507","20220507"
"101-06.080522.64","0","0","0","0","0","0","1","20220508","20220508"
"101-06.090522.15","1","1","1","1","0","0","0","20220509","20220512"
"101-06.130522.16","0","0","0","0","1","0","0","20220513","20220513"
"101-06.140522.32","0","0","0","0","0","1","0","20220514","20220514"
"101-06.150522.64","0","0","0","0","0","0","1","20220515","20220515"
"101-06.160522.15","1","1","1","1","0","0","0","20220516","20220519"
"101-06.200522.16","0","0","0","0","1","0","0","20220520","20220520"
"101-06.210522.32","0","0","0","0","0","1","0","20220521","20220521"
"101-06.220522.64","0","0","0","0","0","0","1","20220522","20220522"
"101-06.230522.15","1","1","1","1","0","0","0","20220523","20220526"
"101-06.270522.16","0","0","0","0","1","0","0","20220527","20220527"
"101-06.280522.32","0","0","0","0","0","1","0","20220528","20220528"
"101-06.290522.64","0","0","0","0","0","0","1","20220529","20220529"
"101-06.300522.15","1","1","1","1","0","0","0","20220530","20220602"
"101-07.210222.15","1","1","1","1","0","0","0","20220221","20220224"
"101-07.250222.16","0","0","0","0","1","0","0","20220225","20220225"
"101-07.260222.32","0","0","0","0","0","1","0","20220226","20220226"
"101-07.270222.64","0","0","0","0","0","0","1","20220227","20220227"
"101-07.280222.15","1","1","1","1","0","0","0","20220228","20220303"
"101-07.040322.16","0","0","0","0","1","0","0","20220304","20220304"
"101-07.050322.32","0","0","0","0","0","1","0","20220305","20220305"
"101-07.060322.64","0","0","0","0","0","0","1","20220306","20220306"
"101-07.070322.15","1","1","1","1","0","0","0","20220307","20220310"
"101-07.110322.16","0","0","0","0","1","0","0","20220311","20220311"
"101-07.120322.32","0","0","0","0","0","1","0","20220312","20220312"
"101-07.130322.64","0","0","0","0","0","0","1","20220313","20220313"
"101-07.140322.15","1","1","1","1","0","0","0","20220314","20220317"
"101-07.180322.16","0","0","0","0","1","0","0","20220318","20220318"
"101-07.190322.32","0","0","0","0","0","1","0","20220319","20220319"
"101-07.200322.64","0","0","0","0","0","0","1","20220320","20220320"
"101-07.210322.15","1","1","1","1","0","0","0","20220321","20220324"
"101-07.250322.16","0","0","0","0","1","0","0","20220325","20220325"
"101-07.260322.32","0","0","0","0","0","1","0","20220326","20220326"
"101-07.270322.64","0","0","0","0","0","0","1","20220327","20220327"
"101-07.280322.15","1","1","1","1","0","0","0","20220328","20220331"
"101-07.010422.16","0","0","0","0","1","0","0","20220401","20220401"
"101-07.020422.32","0","0","0","0","0","1","0","20220402","20220402"
"101-07.030422.64","0","0","0","0","0","0","1","20220403","20220403"
"101-07.040422.15","1","1","1","1","0","0","0","20220404","20220407"
"101-07.080422.16","0","0","0","0","1","0","0","20220408","20220408"
"101-07.090422.32","0","0","0","0","0","1","0","20220409","20220409"
"101-07.100422.64","0","0","0","0","0","0","1","20220410","20220410"
"101-07.110422.15","1","1","1","1","0","0","0","20220411","20220414"
"101-07.150422.16","0","0","0","0","1","0","0","20220415","20220415"
"101-07.160422.32","0","0","0","0","0","1","0","20220416","20220416"
"101-07.170422.64","0","0","0","0","0","0","1","20220417","20220417"
"101-07.180422.15","1","1","1","1","0","0","0","20220418","20220421"
"101-07.220422.16","0","0","0","0","1","0","0","20220422","20220422"
"101-07.230422.32","0","0","0","0","0","1","0","20220423","20220423"
"101-07.240422.64","0","0","0","0","0","0","1","20220424","20220424"
"101-07.250422.15","1","1","1","1","0","0","0","20220425","20220428"
"101-07.290422.16","0","0","0","0","1","0","0","20220429","20220429"
"101-07.300422.32","0","0","0","0","0","1","0","20220430","20220430"
"101-07.010522.64","0","0","0","0","0","0","1","20220501","20220501"
"101-07.020522.15","1","1","1","1","0","0","0","20220502","20220505"
"101-07.060522.16","0","0","0","0","1","0","0","20220506","20220506"
"101-07.070522.32","0","0","0","0","0","1","0","20220507","20220507"
"101-07.080522.64","0","0","0","0","0","0","1","20220508","20220508"
"101-07.090522.15","1","1","1","1","0","0","0","20220509","20220512"
