"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","trip_note","route_direction"
"SMNW_M","101-02.210222.15","101-02.210222.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.250222.16","101-02.250222.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.260222.32","101-02.260222.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.270222.64","101-02.270222.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.280222.15","101-02.280222.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.040322.16","101-02.040322.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.050322.32","101-02.050322.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.060322.64","101-02.060322.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.070322.15","101-02.070322.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.110322.16","101-02.110322.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.120322.32","101-02.120322.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.130322.64","101-02.130322.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.140322.15","101-02.140322.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.180322.16","101-02.180322.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.190322.32","101-02.190322.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.200322.64","101-02.200322.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.210322.15","101-02.210322.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.250322.16","101-02.250322.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.260322.32","101-02.260322.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.270322.64","101-02.270322.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.280322.15","101-02.280322.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.010422.16","101-02.010422.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.020422.32","101-02.020422.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.030422.64","101-02.030422.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.040422.15","101-02.040422.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.080422.16","101-02.080422.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.090422.32","101-02.090422.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.100422.64","101-02.100422.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.110422.15","101-02.110422.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.150422.16","101-02.150422.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.160422.32","101-02.160422.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.170422.64","101-02.170422.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.180422.15","101-02.180422.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.220422.16","101-02.220422.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.230422.32","101-02.230422.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.240422.64","101-02.240422.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.250422.15","101-02.250422.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.290422.16","101-02.290422.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.300422.32","101-02.300422.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.010522.64","101-02.010522.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.020522.15","101-02.020522.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.060522.16","101-02.060522.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.070522.32","101-02.070522.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.080522.64","101-02.080522.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.090522.15","101-02.090522.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.130522.16","101-02.130522.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.140522.32","101-02.140522.32.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.150522.64","101-02.150522.64.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.160522.15","101-02.160522.15.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
"SMNW_M","101-02.200522.16","101-02.200522.16.0435","Chatswood","101-02","1","","SMNW.INBOUND","1","1","","Tallawong to Chatswood"
